id,review_text,cleaned_text
69,"Для меня это аромат характера и внутренней свободы. Древесный, теплый, с легкой кожаной дымкой звучит очень стильно и не банально. В нём есть сухость сандала, немного специй и что-то притягательно-интимное. Он раскрывается по-разному на коже и каждый раз ощущается по-новому. Очень комплиментарный и запоминающийся",аромат характера внутренней свободы древесный теплый легкой кожаной дымкой звучит стильно банально сухость сандала специй притягательно интимное раскрывается разному коже раз ощущается новому комплиментарный запоминающийся
70,"Отличный парфюм, положили в подарок несколько парфюмов, влюбилась во все ) теперь буду покупать только тут, еще и подругам рассказала про сайт !",отличный парфюм положили подарок парфюмов влюбилась покупать подругам рассказала сайт
71,"В целом, я очень довольна своей покупкой. Этот аромат стал одним из моих любимых, и я с удовольствием рекомендую его всем, кто ищет что-то особенное и запоминающееся.",целом довольна покупкой аромат любимых удовольствием рекомендую ищет особенное запоминающееся
72,"Заказала версию 8 мл, с первого пшика аромат полюбился, очень яркий и вкусный. Рекомендую, хотя бы для пробы, а там и версию побольше заказать.",заказала версию 8 мл первого пшика аромат полюбился яркий вкусный рекомендую пробы версию побольше заказать
73,"Как только я его попробовала, поняла, что в нем есть и женственность, и сила. Мне однозначно подошел, приобрету полную версию.",попробовала поняла женственность сила однозначно подошел приобрету полную версию
74,"Пришло вовремя, с подарками, всё в отличном состоянии. Буду продолжать пользоваться этим магазином. Спасибо!",пришло вовремя подарками отличном состоянии продолжать пользоваться магазином спасибо
75,"Мой любимый парфюм! Комплиментарыный,без внимания не останетесь🔥буду заказывать полноразмерный флакон",любимый парфюм комплиментарыный внимания останетесь 🔥 заказывать полноразмерный флакон
76,"Ex Nihilo Fleur Narcotique - очаровательная цветочно-фруктовая композиция с нежной игрой персика, груши и пиона. Лёгкий, свежий, с деликатным шлейфом мускуса. Идеален для тёплых дней: дарит ощущение воздушности и элегантной непринуждённости.",ex nihilo fleur narcotique очаровательная цветочно фруктовая композиция нежной игрой персика груши пиона лёгкий свежий деликатным шлейфом мускуса идеален тёплых дней дарит ощущение воздушности элегантной непринуждённости
77,"Заказывала подруге , она прям балдеет от этого аромата. Ей очень нравится, пользуется каждый день. Спасибо",заказывала подруге балдеет аромата нравится пользуется день спасибо
78,"Мои самые любимые, стойкие, насыщенные, мне никогда не разонравится этот аромат, беру уже не первый флакон, очень удобная дозировка",самые любимые стойкие насыщенные разонравится аромат беру первый флакон удобная дозировка
79,"Мои любимые, беру уже не первый флакон, пятый или шестой, ну очень вкусные, стойкие, насыщенные и все нравится, сразу столько вопросов что за аромат)",любимые беру первый флакон пятый шестой вкусные стойкие насыщенные нравится столько вопросов аромат
80,"Это просто божественно. Ром, перетекающий в кофе и шоколад. Аромат сводит с ума и заставляет чувствовать себя королём вечера.",божественно ром перетекающий кофе шоколад аромат сводит ума заставляет чувствовать королём вечера
81,"Очень вкусный аромат! На старте чувствуется алкоголь, потом раскрывается шоколад со сладостью. Было приятно ознакомиться с данным парфюмом.",вкусный аромат старте чувствуется алкоголь раскрывается шоколад сладостью приятно ознакомиться данным парфюмом
