id,review_text
94,"Мягкий, теплый приятно-сладкий, уютный, обволакивающий, женственный. Амброво-древесно ванильный с еле-ощутимой животной нотой где-то далеко на заднем плане. Идеален на осень и зиму. Это любовь с первого пшика. Очень стойкий, ощущаю его на одежде даже после стирки. Однозначно возьму еще."
95,"Очень понравился аромат, необыкновенный. Стойкий, шлейфовый. В течении дня по-разному раскрывается, интересный, чувствуются все ноты"
96,"Заказываю всё снова и снова . Невероятно элегантный и привлекательный аромат, хочется им обливаться."
97,"Парфюмерная легенда двадцать первого аромата. Если удачно сядет, то красивее аромата не найти. Для знакомства обязательна."
98,Мне очень нравится этот парфюм и рада приобрести его в небольшом формате: удобно носить в сумочке и брать с собой в путешествия. Очень довольна покупкой.
99,"Классическая-классика, уже всем знакомый аромат, взяла 1,5 мл для ностальгии, вечерний аромат, на выход"
100,"Этот аромат стал моей любовью это зимой. Я влюбилась в него с первого пшика. Не могу сказать чем пахнет, он очень сложный для моего носа, но оооочень приятный! Хочется в него укутаться. Он теплый и сладковатый, но в меру (если не переборщить конечно). И стойкость у него отличная - одежда даже после стирки немного пахнет!"
101,"Ооочень класные!!! Сладкие но не приторные, тёплый, мягкий аромат напоминает запах щербета или сливочной помадки, очень стойкие!"
102,"Божественный аромат! Утонченный, женственный. Очень стойкие, шлейфовые. Сначала взяла 1,5 мл на пробу, потом 15 мл и ношу с удовольствием."
103,"Как всегда на высоте! Всегда заметен, но не надоедливый, стойко, вкусно, собирает комплименты, к магазину, как обычно, нет вопросов, купила со скидкой, получилось выгодно"
104,"Обволакивает шелком, от которого мурашки. Сладкий, но дьявольски дерзкий. Оставляет след из тайны и желания."
105,"Любовь с первого вдоха. Сладкий, но не приторный, обволакивающий и невероятно шлейфовый. Все спрашивают, чем так вкусно пахнет. Держится весь день. Дорого, но оно того стоит."
106,"Влюбилась в этот аромат! Такой женственный, манкий😻 Получаю комплименты ежедневно! Мечтаю купить полный объем"
107,"Один из моих любимых ароматов, женственный, обволакивающий, долго держится на вещах. Для меня зимний на прохладный выходной вечер, на свидание."
